RAE_FULL,REASON_FOR_STOP,ADS_SEARCH_PERSON,ADS_SEARCH_PROPERTY,CED_NONE_CONTRABAND,CED_DRUGS,CED_WEAPON,CED_ALCOHOL,CED_STOLEN_PROP,CED_FIREARM,CED_AMMUNITION,CED_DRUG_PARAPHERNALIA,CED_MONEY,CED_OTHER_CONTRABAND
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,2.0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,2.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
4,1.0,0,0,1,0,0,0,0,0,0,0,0,0
5,2.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,2.0,1,1,0,0,0,0,0,0,0,0,0,1
7,2.0,1,1,0,1,0,0,1,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,6.0,1,1,0,0,1,1,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,2.0,1,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0,0,0,1,0,0,0,0,0,0,0,0,0
7,2.0,1,1,0,0,0,0,1,0,0,0,1,1
